,commune_id,commune_name,tranche,nb_foyers,revenue_reference,impot net,nb_foyers_imposes,revenue_reference_impose,nb_foyers_salaire,montant_salaire,nb_foyers_retraite,montant_retraite
,001,Abeilhan,0 à 10 000,205,890,-23,n.c.,n.c.,84,507,60,558
,001,Abeilhan,10 001 à 12 000,n.c.,n.c.,n.c.,n.c.,n.c.,n.c.,n.c.,n.c.,n.c.
,001,Abeilhan,12 001 à 15 000,88,"1,180",-13,n.c.,n.c.,62,940,26,396
,001,Abeilhan,15 001 à 20 000,182,"3,194",-1,44,795,127,"2,403",63,"1,105"
,001,Abeilhan,20 001 à 30 000,214,"5,242",89,97,"2,402",140,"3,694",86,"2,096"
,001,Abeilhan,30 001 à 50 000,247,"9,403",248,160,"6,114",168,"6,466",111,"3,524"
,001,Abeilhan,50 001 à 100 000,75,"4,741",332,n.c.,n.c.,58,"2,969",32,"1,181"
,001,Abeilhan,+ de 100 000,n.c.,n.c.,n.c.,n.c.,n.c.,n.c.,n.c.,n.c.,n.c.
,001,Abeilhan,Total,"1,059","26,423",850,383,"15,135",669,"17,757",397,"9,187"
,002,Adissan,Total,788,"18,563",580,242,"9,751",524,"14,621",254,"5,439"
,003,Agde,0 à 10 000,"6,203","23,974",-185,63,283,"2,101","13,044","2,137","17,858"
,003,Agde,10 001 à 12 000,"1,395","15,400",-71,31,342,727,"8,709",685,"9,559"
,003,Agde,12 001 à 15 000,"2,041","27,351",-72,n.c.,n.c.,"1,360","19,958",753,"11,605"
,003,Agde,15 001 à 20 000,"3,850","67,206",196,"1,373","25,011","2,227","40,936","1,782","34,649"
,003,Agde,20 001 à 30 000,"4,287","103,778","2,167","2,439","59,025","2,164","52,012","2,394","59,899"
,003,Agde,30 001 à 50 000,"3,711","141,152","5,769","2,905","112,466","1,701","57,836","2,426","85,155"
,003,Agde,50 001 à 100 000,"1,648","106,668","9,291","1,558","101,208",872,"45,100",969,"45,956"
,003,Agde,+ de 100 000,367,"70,375","12,679",n.c.,n.c.,263,"22,781",155,"7,588"
,003,Agde,Total,"23,502","555,904","29,773","8,761","368,391","11,415","260,375","11,301","272,270"
,004,Agel,Total,158,"3,087",45,47,"1,522",73,"1,248",84,"1,827"
,005,Agonès,Total,162,"4,563",162,78,"3,223",99,"2,930",62,"1,606"
,006,Aigne,Total,173,"3,820",139,54,"2,081",73,"1,547",82,"1,805"
,007,Aigues-Vives,Total,318,"6,122",94,87,"3,079",159,"3,242",139,"2,889"
,008,Les Aires,Total,377,"8,677",267,130,"4,680",220,"5,330",173,"3,688"
,009,Alignan-du-Vent,0 à 10 000,212,"1,042",-29,n.c.,n.c.,77,527,84,756
,009,Alignan-du-Vent,10 001 à 12 000,61,667,-2,n.c.,n.c.,n.c.,n.c.,37,500
,009,Alignan-du-Vent,12 001 à 15 000,74,996,-8,n.c.,n.c.,50,816,n.c.,n.c.
,009,Alignan-du-Vent,15 001 à 20 000,182,"3,172",2,54,988,108,"2,049",83,"1,588"
,009,Alignan-du-Vent,20 001 à 30 000,199,"4,829",71,91,"2,193",114,"3,022",93,"2,298"
,009,Alignan-du-Vent,30 001 à 50 000,235,"9,035",262,170,"6,642",142,"5,106",121,"4,205"
,009,Alignan-du-Vent,50 001 à 100 000,100,"6,593",465,87,"5,823",70,"4,206",36,"1,812"
,009,Alignan-du-Vent,+ de 100 000,15,"2,447",304,n.c.,n.c.,n.c.,n.c.,n.c.,n.c.
,009,Alignan-du-Vent,Total,"1,078","28,781","1,066",424,"17,913",603,"16,950",483,"11,748"
,010,Aniane,0 à 10 000,408,"1,588",-19,n.c.,n.c.,169,"1,067",112,901
,010,Aniane,10 001 à 12 000,110,"1,208",-10,n.c.,n.c.,70,887,41,581
,010,Aniane,12 001 à 15 000,141,"1,891",-11,n.c.,n.c.,98,"1,603",n.c.,n.c.
,010,Aniane,15 001 à 20 000,300,"5,241",-5,94,"1,708",210,"4,383",92,"1,757"
,010,Aniane,20 001 à 30 000,348,"8,528",115,165,"4,036",238,"6,161",133,"3,159"
,010,Aniane,30 001 à 50 000,355,"13,477",375,239,"9,267",220,"8,891",162,"5,491"
,010,Aniane,50 001 à 100 000,163,"10,655",771,149,"9,805",130,"8,072",49,"2,128"
,010,Aniane,+ de 100 000,29,"6,839","1,029",n.c.,n.c.,24,"2,493",n.c.,n.c.
,010,Aniane,Total,"1,854","49,427","2,244",681,"31,577","1,159","33,558",637,"14,942"
,011,Arboras,Total,75,"1,712",90,23,"1,076",47,"1,139",23,446
,012,Argelliers,Total,604,"20,509","1,230",289,"14,803",423,"14,659",199,"5,532"
,013,Aspiran,0 à 10 000,223,"1,072",-20,n.c.,n.c.,89,579,86,835
,013,Aspiran,10 001 à 12 000,53,579,-4,n.c.,n.c.,n.c.,n.c.,n.c.,n.c.
,013,Aspiran,12 001 à 15 000,101,"1,364",-14,n.c.,n.c.,76,"1,172",28,438
,013,Aspiran,15 001 à 20 000,169,"2,949",11,50,914,109,"2,122",65,"1,219"
,013,Aspiran,20 001 à 30 000,188,"4,480",65,87,"2,065",123,"3,117",79,"1,778"
,013,Aspiran,30 001 à 50 000,197,"7,479",152,121,"4,715",139,"5,365",77,"2,487"
,013,Aspiran,50 001 à 100 000,81,"5,171",360,n.c.,n.c.,52,"2,693",42,"1,970"
,013,Aspiran,+ de 100 000,11,"2,395",536,n.c.,n.c.,n.c.,n.c.,n.c.,n.c.
,013,Aspiran,Total,"1,023","25,489","1,085",347,"14,803",629,"16,603",408,"9,167"
,014,Assas,Total,876,"60,158","8,240",541,"54,233",543,"29,798",376,"13,247"
,015,Assignan,Total,109,"2,569",99,38,"1,546",51,"1,157",56,"1,247"
,016,Aumelas,Total,371,"11,471",419,158,"7,359",260,"8,343",120,"2,910"
,017,Aumes,Total,277,"8,130",317,127,"5,541",189,"5,358",110,"2,507"
,018,Autignac,Total,606,"15,605",585,213,"9,272",355,"9,518",234,"6,073"
,019,Avène,Total,207,"3,839",66,72,"2,291",95,"1,885",100,"2,022"
,020,Azillanet,Total,249,"5,088",140,81,"3,039",126,"2,801",116,"2,268"
,021,Babeau-Bouldoux,Total,178,"4,200",111,62,"2,511",84,"1,767",84,"1,989"
,022,Baillargues,0 à 10 000,665,"2,888",-40,n.c.,n.c.,290,"2,079",164,"1,467"
,022,Baillargues,10 001 à 12 000,203,"2,252",-12,n.c.,n.c.,139,"1,687",65,924
,022,Baillargues,12 001 à 15 000,294,"3,951",-26,n.c.,n.c.,220,"3,356",75,"1,195"
,022,Baillargues,15 001 à 20 000,667,"11,678",42,256,"4,663",500,"9,989",170,"3,281"
,022,Baillargues,20 001 à 30 000,956,"23,246",488,578,"14,079",716,"18,830",265,"6,704"
,022,Baillargues,30 001 à 50 000,980,"37,836","1,539",730,"28,405",675,"26,630",373,"12,811"
,022,Baillargues,50 001 à 100 000,639,"42,444","3,211",598,"39,940",518,"32,800",177,"8,000"
,022,Baillargues,+ de 100 000,184,"37,423","6,282",n.c.,n.c.,165,"21,885",37,"1,973"
,022,Baillargues,Total,"4,588","161,718","11,484","2,355","123,943","3,223","117,256","1,326","36,356"
